id,section,quiz_type,question_en,question_vi,audio_url,image_url,explanation_en,explanation_vi,order
1,1,Flashcard,What does 你好 mean?,你好 có nghĩa là gì?,,,,,1
2,1,Flashcard,What does 再见 mean?,再见 có nghĩa là gì?,,,,,2
3,1,Flashcard,What does 早上好 mean?,早上好 có nghĩa là gì?,,,,,3
4,1,Flashcard,What does 晚上好 mean?,晚上好 có nghĩa là gì?,,,,,4
5,1,Match Pairs,Match the greetings with their Pinyin.,Ghép các lời chào với Pinyin của chúng.,,,,,5
6,1,Match Pairs,Match the greetings with their meanings.,Ghép các lời chào với nghĩa của chúng.,,,,,6
7,1,Match Pairs,Match the Pinyin with their meanings.,Ghép Pinyin với nghĩa của chúng.,,,,,7
8,2,Multiple Choice,Which tone is a high-level tone in Mandarin?,Thanh nào là thanh cao và đều trong tiếng Trung?,,,,,1
9,2,Multiple Choice,Which tone is known as the rising tone?,Thanh nào được biết đến là thanh đi lên?,,,,,2
10,2,Multiple Choice,Which tone starts mid and dips before rising?,"Thanh nào bắt đầu từ giữa, xuống rồi lên?",,,,,3
11,2,Multiple Choice,Which tone is a sharp falling tone?,Thanh nào là thanh rơi nhanh?,,,,,4
12,2,Multiple Choice,Which of the following is NOT a tone in Mandarin?,"Trong các lựa chọn sau, cái nào KHÔNG phải là thanh điệu trong tiếng Trung?",,,,,5
13,2,Multiple Choice,"Which tone is described as a low, dipping tone?","Thanh nào được mô tả là thanh thấp, nhúng?",,,,,6
14,2,Multiple Choice,Which tone is often used for exclamations?,Thanh nào thường được dùng cho cảm thán?,,,,,7
15,2,Multiple Choice,Which tone is flat and steady?,Thanh nào là phẳng và ổn định?,,,,,8
16,2,Multiple Choice,Which tone is characterized by a quick drop?,Thanh nào có đặc điểm là rơi nhanh?,,,,,9
17,3,Listening,Listen and select the correct answer,Nghe và chọn câu trả lời đúng,audio/tone1_你好.mp3,,,,1
18,3,Listening,Listen and select the correct answer,Nghe và chọn câu trả lời đúng,audio/tone2_妈妈.mp3,,,,2
19,3,Listening,Listen and select the correct answer,Nghe và chọn câu trả lời đúng,audio/tone3_老师.mp3,,,,3
20,3,Listening,Listen and select the correct answer,Nghe và chọn câu trả lời đúng,audio/tone4_喝水.mp3,,,,4
21,3,Listening,Listen and select the correct answer,Nghe và chọn câu trả lời đúng,audio/tone5_中国.mp3,,,,5
22,3,Listening,Listen and select the correct answer,Nghe và chọn câu trả lời đúng,audio/tone6_朋友.mp3,,,,6
23,3,Listening,Listen and select the correct answer,Nghe và chọn câu trả lời đúng,audio/tone7_学校.mp3,,,,7
24,3,Listening,Listen and select the correct answer,Nghe và chọn câu trả lời đúng,audio/tone8_天气.mp3,,,,8
25,3,Listening,Listen and select the correct answer,Nghe và chọn câu trả lời đúng,audio/tone9_电视.mp3,,,,9
26,3,Listening,Listen and select the correct answer,Nghe và chọn câu trả lời đúng,audio/tone10_学生.mp3,,,,10
27,3,Listening,Listen and select the correct answer,Nghe và chọn câu trả lời đúng,audio/tone11_老师.mp3,,,,11
28,3,Listening,Listen and select the correct answer,Nghe và chọn câu trả lời đúng,audio/tone12_苹果.mp3,,,,12
29,3,Listening,Listen and select the correct answer,Nghe và chọn câu trả lời đúng,audio/tone13_房子.mp3,,,,13
30,3,Listening,Listen and select the correct answer,Nghe và chọn câu trả lời đúng,audio/tone14_桌子.mp3,,,,14
31,3,Listening,Listen and select the correct answer,Nghe và chọn câu trả lời đúng,audio/tone15_椅子.mp3,,,,15
32,3,Listening,Listen and select the correct answer,Nghe và chọn câu trả lời đúng,audio/tone16_书本.mp3,,,,16
33,3,Listening,Listen and select the correct answer,Nghe và chọn câu trả lời đúng,audio/tone17_电话.mp3,,,,17
34,3,Listening,Listen and select the correct answer,Nghe và chọn câu trả lời đúng,audio/tone18_桌子.mp3,,,,18
35,4,Speaking,Practice saying '你好' with the correct tones.,Luyện tập nói '你好' với đúng ngữ điệu.,,,,,1
36,4,Speaking,Practice saying '再见' with the correct tones.,Luyện tập nói '再见' với đúng ngữ điệu.,,,,,2
37,4,Speaking,Practice saying '早上好' with the correct tones.,Luyện tập nói '早上好' với đúng ngữ điệu.,,,,,3
38,4,Speaking,Practice saying '晚上好' with the correct tones.,Luyện tập nói '晚上好' với đúng ngữ điệu.,,,,,4
39,4,Speaking,Role-play: Greet your friend in the morning.,Nhập vai: Chào bạn vào buổi sáng.,,,Pretend you see a friend in the morning and greet them.,Giả vờ bạn gặp một người bạn vào buổi sáng và chào họ.,5
40,4,Speaking,Role-play: Say goodbye to a friend.,Nhập vai: Chào tạm biệt bạn.,,,Pretend you are leaving a friend's house and say goodbye.,Giả vờ bạn rời khỏi nhà một người bạn và chào tạm biệt.,6
41,4,Speaking,Role-play: Greet someone in the evening.,Nhập vai: Chào ai đó vào buổi tối.,,,Imagine meeting someone in the evening and greet them.,Hãy tưởng tượng bạn gặp ai đó vào buổi tối và chào họ.,7
42,4,Speaking,Role-play: Respond to a greeting.,Nhập vai: Đáp lại lời chào.,,,Imagine someone greets you with '你好' and respond appropriately.,Hãy tưởng tượng ai đó chào bạn bằng '你好' và đáp lại phù hợp.,8
43,5,Fill in the Blank,Fill in the blank with the appropriate greeting.,Điền vào chỗ trống với lời chào phù hợp.,,,,,1
44,5,Fill in the Blank,Fill in the blank with the appropriate farewell.,Điền vào chỗ trống với lời tạm biệt phù hợp.,,,,,2
45,5,Fill in the Blank,Fill in the blank with the appropriate morning greeting.,Điền vào chỗ trống với lời chào buổi sáng phù hợp.,,,,,3
46,5,Fill in the Blank,Fill in the blank with the appropriate evening greeting.,Điền vào chỗ trống với lời chào buổi tối phù hợp.,,,,,4
47,5,Fill in the Blank,Fill in the blank with the appropriate greeting.,Điền vào chỗ trống với lời chào phù hợp.,,,,,5
48,5,Fill in the Blank,Fill in the blank with the appropriate phrase.,Điền vào chỗ trống với cụm từ phù hợp.,,,,,6
49,5,Fill in the Blank,Fill in the blank with the appropriate morning greeting.,Điền vào chỗ trống với lời chào buổi sáng phù hợp.,,,,,7
50,5,Fill in the Blank,Fill in the blank with the appropriate evening greeting.,Điền vào chỗ trống với lời chào buổi tối phù hợp.,,,,,8
51,5,Fill in the Blank,Fill in the blank with the appropriate greeting.,Điền vào chỗ trống với lời chào phù hợp.,,,,,9
52,5,Fill in the Blank,Fill in the blank with the appropriate farewell.,Điền vào chỗ trống với lời tạm biệt phù hợp.,,,,,10
53,5,Fill in the Blank,Fill in the blank with the appropriate morning greeting.,Điền vào chỗ trống với lời chào buổi sáng phù hợp.,,,,,11
54,5,Fill in the Blank,Fill in the blank with the appropriate evening greeting.,Điền vào chỗ trống với lời chào buổi tối phù hợp.,,,,,12
55,6,Flashcard,Learn the greeting 你好,Hãy học câu chào 你好,,,,,1
56,6,Flashcard,Learn the farewell 再见,Hãy học câu tạm biệt 再见,,,,,2
57,6,Flashcard,Learn the morning greeting 早上好,Hãy học câu chào buổi sáng 早上好,,,,,3
58,6,Flashcard,Learn the evening greeting 晚上好,Hãy học câu chào buổi tối 晚上好,,,,,4
59,6,Single Choice,What is the correct response to 你好?,Đáp lại 你好 như thế nào là đúng?,,,,,5
60,6,Single Choice,What is an appropriate farewell?,Câu tạm biệt nào là phù hợp?,,,,,6
61,6,Multiple Choice,Select all greetings.,Chọn tất cả các câu chào hỏi.,,,,,7
62,6,Match Pairs,Match the greeting with its pinyin.,Ghép câu chào với cách đọc pinyin của nó.,,,,,8
63,6,Order Sentence,"Put the sentence in order: 你好, 我是老师.","Sắp xếp câu cho đúng: 你好, 我是老师.",,,,,9
64,6,Fill in the Blank,Complete the greeting: 早上___,Hoàn thành câu chào: 早上___,,,,,10
65,6,Listening,Listen and select the correct answer.,Nghe và chọn câu trả lời đúng.,,,,,11
66,6,Speaking,Say 'Good morning' in Chinese.,Nói 'Chào buổi sáng' bằng tiếng Trung.,,,,,12
67,6,Translate to CN,Translate 'Goodbye' to Chinese.,Dịch 'Tạm biệt' sang tiếng Trung.,,,,,13
68,6,Translate from CN,Translate '晚上好' to English.,Dịch '晚上好' sang tiếng Anh.,,,,,14
69,6,Writing,Write 'Hello' in Chinese.,Viết 'Xin chào' bằng tiếng Trung.,,,,,15
70,7,Flashcard,Learn the new word.,Học từ mới.,,,,,1
71,7,Flashcard,Learn the new word.,Học từ mới.,,,,,2
72,7,Order Sentence,Arrange the words to form a correct sentence.,Sắp xếp các từ để tạo thành câu đúng.,,,,,3
73,7,Order Sentence,Arrange the words to form a correct sentence.,Sắp xếp các từ để tạo thành câu đúng.,,,,,4
74,7,Single Choice,Select the correct tone for '好' in '你好'.,Chọn thanh điệu đúng của '好' trong '你好'.,,,,,5
75,7,Single Choice,Select the correct tone for '见' in '再见'.,Chọn thanh điệu đúng của '见' trong '再见'.,,,,,6
76,7,Fill in the Blank,Fill in the blank with the correct word.,Điền vào chỗ trống với từ đúng.,,,,,7
77,7,Fill in the Blank,Fill in the blank with the correct word.,Điền vào chỗ trống với từ đúng.,,,,,8
78,7,Match Pairs,Match the phrases with their meanings.,Nối các cụm từ với ý nghĩa của chúng.,,,,,9
79,7,Match Pairs,Match the words with their Pinyin.,Nối các từ với Pinyin của chúng.,,,,,10
80,7,Listening,Listen and select the correct answer.,Nghe và chọn câu trả lời đúng.,,,,,11
81,7,Listening,What did you hear?,Bạn đã nghe thấy gì?,,,,,12
82,7,Multiple Choice,Which of the following are greetings?,Câu nào sau đây là chào hỏi?,,,,,13
83,7,Multiple Choice,Select all phrases that contain '好'.,Chọn tất cả các cụm từ có chứa '好'.,,,,,14
84,7,Speaking,Say 'Good morning' in Chinese.,Nói 'Chào buổi sáng' bằng tiếng Trung.,,,,,15
